accession,uniprot_entry_name,gene_symbol,protein_name,ensembl_gene_id,primary_topology_class,simplified_topology_bucket,antibody_accessibility_tier,final_accessible_in_vivo,final_accessibility_bucket,final_accessibility_confidence,surfy_surfaceome_support,surfy_tm_domains,surfy_topology,surfy_uniprot_subcellular,surfy_uniprot_keywords,hpa_predicted_secreted_support,uhlen_secretome_support,supporting_evidence_sources,has_nonisoform_surface_annotation,has_nonisoform_secreted_annotation,has_isoform_specific_surface_annotation,has_isoform_specific_secreted_annotation,has_peripheral_membrane_annotation,surface_topology_values,nonisoform_surface_locations,nonisoform_secreted_locations,relevant_keywords,classification_evidence,classification_notes,explored_as_therapeutic,total_asset_count,active_program_asset_count,discontinued_asset_count,approved_asset_count,phase3_asset_count,phase2_asset_count,phase1_asset_count,unknown_asset_count
P35408,PE2R4_HUMAN,PTGER4,Prostaglandin E2 receptor EP4 subtype (PGE receptor EP4 subtype) (PGE2 receptor EP4 subtype) (Prostanoid EP4 receptor),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-20;TM:21-42;CY:43-53;TM:54-77;NC:78-95;TM:96-115;CY:116-134;TM:135-157;NC:158-186;TM:187-211;CY:212-266;TM:267-294;NC:295-313;TM:314-332;CY:333-488,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-20;TM:21-42;CY:43-53;TM:54-77;NC:78-95;TM:96-115;CY:116-134;TM:135-157;NC:158-186;TM:187-211;CY:212-266;TM:267-294;NC:295-313;TM:314-332;CY:333-488,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
P43088,PF2R_HUMAN,PTGFR,Prostaglandin F2-alpha receptor (PGF receptor) (PGF2-alpha receptor) (Prostanoid FP receptor),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-29;TM:30-52;CY:53-65;TM:66-92;NC:93-105;TM:106-131;CY:132-151;TM:152-172;NC:173-200;TM:201-228;CY:229-247;TM:248-268;NC:269-286;TM:287-307;CY:308-359,Cell membrane (Multi-pass membrane protein),Alternative splicing;Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-29;TM:30-52;CY:53-65;TM:66-92;NC:93-105;TM:106-131;CY:132-151;TM:152-172;NC:173-200;TM:201-228;CY:229-247;TM:248-268;NC:269-286;TM:287-307;CY:308-359,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q9P2B2,FPRP_HUMAN,PTGFRN,Prostaglandin F2 receptor negative regulator (CD9 partner 1) (CD9P-1) (Glu-Trp-Ile EWI motif-containing protein F) (EWI-F) (Prostaglandin F2-alpha receptor regulatory protein) (Prostaglandin F2-alpha receptor-associated protein) (CD antigen CD315),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-25;NC:26-830;TM:831-853;CY:854-879,"Endoplasmic reticulum membrane (Single-pass type I membrane protein);Golgi apparatus, trans-Golgi network membrane (Single-pass type I membrane protein)",Complete proteome;Direct protein sequencing;Disulfide bond;Endoplasmic reticulum;Glycoprotein;Golgi apparatus;Immunoglobulin domain;Membrane;Phosphoprotein;Polymorphism;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,0,0,SURFY,0,0,0,0,0,,,,Membrane|Transmembrane|Transmembrane helix,external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-25;NC:26-830;TM:831-853;CY:854-879,surface topology assigned from SURFY topology metadata,0,0,0,0,0,0,0,0,0
P43119,PI2R_HUMAN,PTGIR,Prostacyclin receptor (Prostaglandin I2 receptor) (PGI receptor) (PGI2 receptor) (Prostanoid IP receptor),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,NC:1-19;TM:20-38;CY:39-48;TM:49-75;NC:76-94;TM:95-115;CY:116-135;TM:136-158;NC:159-183;TM:184-211;CY:212-236;TM:237-257;NC:258-276;TM:277-295;CY:296-386,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Methylation;Palmitate;Polymorphism;Prenylation;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=NC:1-19;TM:20-38;CY:39-48;TM:49-75;NC:76-94;TM:95-115;CY:116-135;TM:136-158;NC:159-183;TM:184-211;CY:212-236;TM:237-257;NC:258-276;TM:277-295;CY:296-386,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
P01270,PTHY_HUMAN,PTH,Parathyroid hormone (PTH) (Parathormone) (Parathyrin),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted pmids=4509319|7829495 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
Q03431,PTH1R_HUMAN,PTH1R,Parathyroid hormone/parathyroid hormone-related peptide receptor (PTH/PTHrP type I receptor) (PTH/PTHr receptor) (Parathyroid hormone 1 receptor) (PTH1 receptor),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,SP:1-24;NC:25-188;TM:189-212;CY:213-221;TM:222-240;NC:241-283;TM:284-306;CY:307-319;TM:320-341;NC:342-360;TM:361-385;CY:386-405;TM:406-426;NC:427-444;TM:445-464;CY:465-593,Cell membrane (Multi-pass membrane protein),3D-structure;Cell membrane;Complete proteome;Disease mutation;Disulfide bond;Dwarfism;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Signal;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] pmids=20172855|8397094 || external_surface: SURFY positive surfaceome member tm_domains=7 topology=SP:1-24;NC:25-188;TM:189-212;CY:213-221;TM:222-240;NC:241-283;TM:284-306;CY:307-319;TM:320-341;NC:342-360;TM:361-385;CY:386-405;TM:406-426;NC:427-444;TM:445-464;CY:465-593,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
Q96A98,TIP39_HUMAN,PTH2,Tuberoinfundibular peptide of 39 residues (TIP39) (Parathyroid hormone 2),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
P49190,PTH2R_HUMAN,PTH2R,Parathyroid hormone 2 receptor (PTH2 receptor),,multipass_surface,Multipass,lower_confidence_multipass,1,multipass_surface,medium,1,7,SP:1-22;NC:23-144;TM:145-169;CY:170-177;TM:178-196;NC:197-234;TM:235-255;CY:256-274;TM:275-296;NC:297-315;TM:316-337;CY:338-364;TM:365-387;NC:388-398;TM:399-417;CY:418-550,Cell membrane (Multi-pass membrane protein),Cell membrane;Complete proteome;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Signal;Transducer;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Multi-pass membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Multi-pass membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=7 topology=SP:1-22;NC:23-144;TM:145-169;CY:170-177;TM:178-196;NC:197-234;TM:235-255;CY:256-274;TM:275-296;NC:297-315;TM:316-337;CY:338-364;TM:365-387;NC:388-398;TM:399-417;CY:418-550,broad cell-surface count is inflated by multipass membrane proteins,0,0,0,0,0,0,0,0,0
P12272,PTHR_HUMAN,PTHLH,Parathyroid hormone-related protein (PTH-rP) (PTHrP) (Parathyroid hormone-like protein) (PLP) [Cleaved into: PTHrP[1-36]; PTHrP[38-94]; Osteostatin (PTHrP[107-139])],,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted pmids=12852260|3616618 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
Q13308,PTK7_HUMAN,PTK7,Inactive tyrosine-protein kinase 7 (Colon carcinoma kinase 4) (CCK-4) (Protein-tyrosine kinase 7) (Pseudo tyrosine kinase receptor 7) (Tyrosine-protein kinase-like 7),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-30;NC:31-702;TM:703-726;CY:727-1070,Cell junction;Membrane (Single-pass type I membrane protein),Alternative splicing;Cell adhesion;Cell junction;Complete proteome;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Polymorphism;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix;Wnt signaling pathway,1,1,UniProt|SURFY|HPA_secretome|Uhlen_secretome,1,0,0,0,0,Single-pass type I membrane protein,Cell membrane,,Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] pmids=20837484 || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-30;NC:31-702;TM:703-726;CY:727-1070 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,1,1,0,1,0,0,0,1,0
P21246,PTN_HUMAN,PTN,Pleiotrophin (PTN) (Heparin-binding brain mitogen) (HBBM) (Heparin-binding growth factor 8) (HBGF-8) (Heparin-binding growth-associated molecule) (HB-GAM) (Heparin-binding neurite outgrowth-promoting factor) (HBNF) (Heparin-binding neurite outgrowth-promoting factor 1) (HBNF-1) (Osteoblast-specific factor 1) (OSF-1),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,0,,,,,1,1,UniProt|HPA_secretome|Uhlen_secretome,0,1,0,0,0,,,Secreted,Secreted,secreted: Secreted pmids=1733956|8241100 || external_secreted: HPA predicted secreted protein || external_secreted: Uhlen/HPA secretome table,,0,0,0,0,0,0,0,0,0
P17706,PTN2_HUMAN,PTPN2,Tyrosine-protein phosphatase non-receptor type 2 (EC 3.1.3.48) (T-cell protein-tyrosine phosphatase) (TCPTP),,surface_isoform_only,Single-pass,needs_review,1,surface_isoform_only_accessible,isoform_specific,0,,,,,0,0,UniProt,0,0,1,0,0,,,,Cell membrane|Membrane,isoform_surface: Cell membrane pmids=9488479 isoform=Isoform 2,surface annotation is isoform-specific,0,0,0,0,0,0,0,0,0
P18433,PTPRA_HUMAN,PTPRA,Receptor-type tyrosine-protein phosphatase alpha (Protein-tyrosine phosphatase alpha) (R-PTP-alpha) (EC 3.1.3.48),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-21;NC:22-142;TM:143-166;CY:167-802,Membrane (Single-pass type I membrane protein),Alternative splicing;Complete proteome;Glycoprotein;Hydrolase;Membrane;Phosphoprotein;Polymorphism;Protein phosphatase;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-21;NC:22-142;TM:143-166;CY:167-802,,0,0,0,0,0,0,0,0,0
P23467,PTPRB_HUMAN,PTPRB,Receptor-type tyrosine-protein phosphatase beta (Protein-tyrosine phosphatase beta) (R-PTP-beta) (EC 3.1.3.48) (Vascular endothelial protein tyrosine phosphatase) (VE-PTP),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-22;NC:23-1621;TM:1622-1642;CY:1643-1997,Membrane (Single-pass type I membrane protein),3D-structure;Alternative splicing;Angiogenesis;Complete proteome;Glycoprotein;Hydrolase;Membrane;Polymorphism;Protein phosphatase;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Cell membrane,,Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-22;NC:23-1621;TM:1622-1642;CY:1643-1997,,0,0,0,0,0,0,0,0,0
P08575,PTPRC_HUMAN,PTPRC,Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-23;NC:24-575;TM:576-597;CY:598-1304,Membrane (Single-pass type I membrane protein);Membrane raft,3D-structure;Alternative splicing;Complete proteome;Disease mutation;Glycoprotein;Hydrolase;Membrane;Phosphoprotein;Polymorphism;Protein phosphatase;Reference proteome;Repeat;SCID;Signal;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] pmids=12676959|22174689|35767951 || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-23;NC:24-575;TM:576-597;CY:598-1304,,1,1,1,0,0,1,0,0,0
P23468,PTPRD_HUMAN,PTPRD,Receptor-type tyrosine-protein phosphatase delta (Protein-tyrosine phosphatase delta) (R-PTP-delta) (EC 3.1.3.48),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-20;NC:21-1266;TM:1267-1290;CY:1291-1912,Membrane (Single-pass type I membrane protein),3D-structure;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Hydrolase;Immunoglobulin domain;Membrane;Polymorphism;Protein phosphatase;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Cell membrane,,Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-20;NC:21-1266;TM:1267-1290;CY:1291-1912,,0,0,0,0,0,0,0,0,0
P23469,PTPRE_HUMAN,PTPRE,Receptor-type tyrosine-protein phosphatase epsilon (Protein-tyrosine phosphatase epsilon) (R-PTP-epsilon) (EC 3.1.3.48),,surface_isoform_only,Single-pass,needs_review,1,surface_isoform_only_accessible,isoform_specific,0,,,,,0,0,UniProt,0,0,1,0,0,,,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,isoform_surface: Cell membrane [Single-pass type I membrane protein] isoform=Isoform 1,surface annotation is isoform-specific,0,0,0,0,0,0,0,0,0
P10586,PTPRF_HUMAN,PTPRF,Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-29;NC:30-1261;TM:1262-1284;CY:1285-1907,Membrane (Single-pass type I membrane protein),3D-structure;Alternative splicing;Cell adhesion;Complete proteome;Disulfide bond;Glycoprotein;Heparin-binding;Hydrolase;Immunoglobulin domain;Membrane;Polymorphism;Protein phosphatase;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Cell membrane,,Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-29;NC:30-1261;TM:1262-1284;CY:1285-1907,,0,0,0,0,0,0,0,0,0
P23470,PTPRG_HUMAN,PTPRG,Receptor-type tyrosine-protein phosphatase gamma (Protein-tyrosine phosphatase gamma) (R-PTP-gamma) (EC 3.1.3.48),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-19;NC:20-736;TM:737-762;CY:763-1445,Membrane (Single-pass type I membrane protein),3D-structure;Alternative splicing;Complete proteome;Disulfide bond;Glycoprotein;Hydrolase;Membrane;Phosphoprotein;Polymorphism;Protein phosphatase;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Cell membrane,,Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-19;NC:20-736;TM:737-762;CY:763-1445,,0,0,0,0,0,0,0,0,0
Q9HD43,PTPRH_HUMAN,PTPRH,Receptor-type tyrosine-protein phosphatase H (R-PTP-H) (EC 3.1.3.48) (Stomach cancer-associated protein tyrosine phosphatase 1) (SAP-1) (Transmembrane-type protein-tyrosine phosphatase type H),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-26;NC:27-752;TM:753-776;CY:777-1115,Cytoplasm;Membrane (Single-pass type I membrane protein),Alternative splicing;Apoptosis;Complete proteome;Cytoplasm;Disulfide bond;Glycoprotein;Hydrolase;Membrane;Polymorphism;Protein phosphatase;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Apical cell membrane|Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Apical cell membrane [Single-pass type I membrane protein] pmids=12879010; Cell membrane [Single-pass type I membrane protein] pmids=12879010 || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-26;NC:27-752;TM:753-776;CY:777-1115,,0,0,0,0,0,0,0,0,0
Q12913,PTPRJ_HUMAN,PTPRJ,Receptor-type tyrosine-protein phosphatase eta (Protein-tyrosine phosphatase eta) (R-PTP-eta) (EC 3.1.3.48) (Density-enhanced phosphatase 1) (DEP-1) (HPTP eta) (Protein-tyrosine phosphatase receptor type J) (R-PTP-J) (CD antigen CD148),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-35;NC:36-970;TM:971-996;CY:997-1337,"Cell junction;Cell membrane (Single-pass type I membrane protein);Cell projection, ruffle membrane",3D-structure;Alternative splicing;Cell junction;Cell membrane;Cell projection;Complete proteome;Direct protein sequencing;Glycoprotein;Hydrolase;Membrane;Polymorphism;Protein phosphatase;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,1,0,UniProt|SURFY|HPA_secretome,1,0,0,1,0,Single-pass type I membrane protein,Cell membrane,,Cell membrane|Membrane|Secreted|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] || isoform_secreted: Secreted [Single-pass membrane protein] pmids=28052032 isoform=Isoform 2 || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-35;NC:36-970;TM:971-996;CY:997-1337 || external_secreted: HPA predicted secreted protein,secreted annotation is isoform-specific,0,0,0,0,0,0,0,0,0
Q15262,PTPRK_HUMAN,PTPRK,Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-25;NC:26-752;TM:753-774;CY:775-1439,"Cell junction, adherens junction;Cell membrane (Single-pass type I membrane protein)",3D-structure;Alternative splicing;Cell junction;Cell membrane;Complete proteome;Disulfide bond;Glycoprotein;Hydrolase;Immunoglobulin domain;Membrane;Protein phosphatase;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-25;NC:26-752;TM:753-774;CY:775-1439,,0,0,0,0,0,0,0,0,0
P28827,PTPRM_HUMAN,PTPRM,Receptor-type tyrosine-protein phosphatase mu (Protein-tyrosine phosphatase mu) (R-PTP-mu) (EC 3.1.3.48),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-20;NC:21-742;TM:743-764;CY:765-1452,Membrane (Single-pass type I membrane protein),3D-structure;Alternative splicing;Cell adhesion;Complete proteome;Disulfide bond;Glycoprotein;Hydrolase;Immunoglobulin domain;Membrane;Phosphoprotein;Polymorphism;Protein phosphatase;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] pmids=10753936 || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-20;NC:21-742;TM:743-764;CY:765-1452,,0,0,0,0,0,0,0,0,0
Q16849,PTPRN_HUMAN,PTPRN,Receptor-type tyrosine-protein phosphatase-like N (R-PTP-N) (Islet cell antigen 512) (ICA 512) (Islet cell autoantigen 3) (PTP IA-2) [Cleaved into: ICA512-N-terminal fragment (ICA512-NTF); ICA512-transmembrane fragment (ICA512-TMF); ICA512-cleaved cytosolic fragment (ICA512-CCF)],,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-34;NC:35-576;TM:577-600;CY:601-979,Membrane (Single-pass type I membrane protein),3D-structure;Alternative splicing;Complete proteome;Glycoprotein;Membrane;Polymorphism;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] pmids=10457160|25561468 || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-34;NC:35-576;TM:577-600;CY:601-979,,0,0,0,0,0,0,0,0,0
Q92932,PTPR2_HUMAN,PTPRN2,Receptor-type tyrosine-protein phosphatase N2 (R-PTP-N2) (EC 3.1.3.-) (EC 3.1.3.48) (Islet cell autoantigen-related protein) (IAR) (ICAAR) (Phogrin) [Cleaved into: IA-2beta60],,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-21;NC:22-614;TM:615-639;CY:640-1015,"Cytoplasmic vesicle, secretory vesicle membrane (Single-pass type I membrane protein)",3D-structure;Acetylation;Alternative splicing;Complete proteome;Cytoplasmic vesicle;Glycoprotein;Hydrolase;Membrane;Polymorphism;Protein phosphatase;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix,0,0,SURFY,0,0,0,0,0,,,,Membrane|Transmembrane|Transmembrane helix,external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-21;NC:22-614;TM:615-639;CY:640-1015,surface topology assigned from SURFY topology metadata,0,0,0,0,0,0,0,0,0
Q16827,PTPRO_HUMAN,PTPRO,Receptor-type tyrosine-protein phosphatase O (R-PTP-O) (EC 3.1.3.48) (Glomerular epithelial protein 1) (Protein tyrosine phosphatase U2) (PTP-U2) (PTPase U2),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-29;NC:30-819;TM:820-844;CY:845-1216,Membrane (Single-pass type I membrane protein),3D-structure;Alternative splicing;Complete proteome;Glycoprotein;Hydrolase;Membrane;Phosphoprotein;Protein phosphatase;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Cell membrane,,Membrane|Transmembrane|Transmembrane helix,surface: Cell membrane [Single-pass type I membrane protein] || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-29;NC:30-819;TM:820-844;CY:845-1216,,0,0,0,0,0,0,0,0,0
Q9UMZ3,PTPRQ_HUMAN,PTPRQ,Phosphatidylinositol phosphatase PTPRQ (EC 3.1.3.67) (EC 3.1.3.86) (EC 3.1.3.95) (Receptor-type tyrosine-protein phosphatase Q) (PTP-RQ) (R-PTP-Q),,single_pass_surface,Single-pass,high_confidence,1,single_pass_surface,high,1,1,SP:1-37;NC:38-1947;TM:1948-1970;CY:1971-2332,Membrane (Single-pass type I membrane protein),3D-structure;Complete proteome;Deafness;Disease mutation;Glycoprotein;Hydrolase;Membrane;Non-syndromic deafness;Polymorphism;Protein phosphatase;Receptor;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,0,0,UniProt|SURFY,1,0,0,0,0,Single-pass type I membrane protein,Apical cell membrane|Cell membrane,,Cell membrane|Membrane|Transmembrane|Transmembrane helix,surface: Apical cell membrane [Single-pass type I membrane protein] pmids=12837292; Cell membrane [Single-pass type I membrane protein] pmids=12837292 || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-37;NC:38-1947;TM:1948-1970;CY:1971-2332,,0,0,0,0,0,0,0,0,0
Q15256,PTPRR_HUMAN,PTPRR,Receptor-type tyrosine-protein phosphatase R (R-PTP-R) (EC 3.1.3.48) (Ch-1PTPase) (NC-PTPCOM1) (Protein-tyrosine phosphatase PCPTP1),,secreted_soluble,Secreted,high_confidence,1,secreted_soluble,high,1,1,SP:1-18;NC:19-227;TM:228-250;CY:251-657,"Cell membrane (Single-pass type I membrane protein);Cytoplasm, perinuclear region;Cytoplasm, perinuclear region",3D-structure;Alternative splicing;Cell membrane;Complete proteome;Cytoplasm;Glycoprotein;Hydrolase;Membrane;Phosphoprotein;Polymorphism;Protein phosphatase;Receptor;Reference proteome;Signal;Transmembrane;Transmembrane helix,1,0,UniProt|SURFY|HPA_secretome,0,1,1,0,0,,,Secreted,Cell membrane|Membrane|Secreted|Transmembrane|Transmembrane helix,secreted: Secreted [Single-pass membrane protein] pmids=25326458 || isoform_surface: Cell membrane [Single-pass type I membrane protein] isoform=Isoform Alpha || external_surface: SURFY positive surfaceome member tm_domains=1 topology=SP:1-18;NC:19-227;TM:228-250;CY:251-657 || external_secreted: HPA predicted secreted protein,surface annotation is isoform-specific,0,0,0,0,0,0,0,0,0
